Wall time,Step,Value
1698992084.2320652,49,-19.383380889892578
1698992093.439391,99,-23.268428802490234
1698992102.5621772,149,-24.56250762939453
1698992111.4912174,199,-24.893810272216797
1698992120.245302,249,-25.070911407470703
1698992129.2497098,299,-25.270709991455078
1698992138.069405,349,-25.390392303466797
1698992147.345898,399,-25.39285659790039
1698992156.286547,449,-25.55191421508789
1698992165.178644,499,-25.588912963867188
1698992174.1315076,549,-25.844573974609375
1698992182.8612497,599,-25.878477096557617
1698992191.9058063,649,-25.873727798461914
1698992200.8422234,699,-25.764101028442383
1698992210.3532228,749,-25.667734146118164
1698992219.4062934,799,-25.927959442138672
1698992228.2397914,849,-25.847766876220703
1698992237.074998,899,-25.996362686157227
1698992245.9757283,949,-26.343955993652344
1698992254.7405183,999,-26.263324737548828
1698992263.4872391,1049,-26.241647720336914
1698992272.2099392,1099,-26.989662170410156
1698992281.5241501,1149,-26.032367706298828
1698992290.5006282,1199,-26.195833206176758
1698992299.3718164,1249,-26.57069206237793
1698992308.3087788,1299,-26.647043228149414
1698992317.2339532,1349,-26.488178253173828
1698992326.0742676,1399,-26.694175720214844
1698992334.9802706,1449,-26.777767181396484
1698992344.0227044,1499,-26.363056182861328
1698992352.9986296,1549,-26.46544647216797
1698992361.7678342,1599,-26.628740310668945
1698992370.5212655,1649,-26.49974822998047
1698992379.3557107,1699,-26.612483978271484
1698992388.3577886,1749,-26.744081497192383
1698992397.2232623,1799,-26.738977432250977
1698992406.3739855,1849,-26.50845718383789
1698992415.1606636,1899,-26.358022689819336
1698992424.096978,1949,-26.839750289916992
1698992432.9276118,1999,-26.815853118896484
1698992441.9301138,2049,-26.728601455688477
1698992450.8079588,2099,-26.98906135559082
1698992459.5609143,2149,-26.922283172607422
1698992468.4071386,2199,-26.339794158935547
1698992477.7633383,2249,-26.695648193359375
1698992486.909693,2299,-26.838903427124023
1698992495.984832,2349,-27.00102996826172
1698992504.7686837,2399,-26.772920608520508
1698992513.7193382,2449,-26.959550857543945
1698992522.5996573,2499,-26.95611572265625
1698992531.5724525,2549,-27.206581115722656
1698992540.5940962,2599,-26.796966552734375
1698992549.3873694,2649,-26.715089797973633
1698992558.4627948,2699,-26.918502807617188
1698992567.1524265,2749,-26.93048667907715
1698992576.0094428,2799,-26.9362850189209
1698992584.9981422,2849,-27.115901947021484
1698992593.8624036,2899,-27.17261505126953
1698992603.0752878,2949,-26.94432830810547
1698992611.886068,2999,-27.01981544494629
1698992620.7084007,3049,-26.750869750976562
1698992629.4638274,3099,-27.118839263916016
1698992638.279973,3149,-27.14682388305664
1698992646.9381115,3199,-27.027921676635742
1698992655.6503086,3249,-26.903949737548828
1698992664.256953,3299,-27.060565948486328
1698992673.4411387,3349,-26.77793312072754
1698992682.710531,3399,-27.04770278930664
1698992691.7383194,3449,-26.836997985839844
1698992700.672988,3499,-26.983600616455078
1698992709.4198058,3549,-27.097166061401367
1698992718.582314,3599,-27.12127685546875
1698992727.4060006,3649,-27.283855438232422
1698992736.6913228,3699,-27.10335922241211
1698992745.6481905,3749,-27.025691986083984
1698992754.7476642,3799,-27.211162567138672
1698992763.6524744,3849,-26.881183624267578
1698992772.4796422,3899,-27.22665786743164
1698992781.4393446,3949,-27.21236801147461
1698992790.3494494,3999,-27.167327880859375
1698992799.62392,4049,-27.160093307495117
1698992808.5694592,4099,-26.795730590820312
1698992817.5759432,4149,-26.917537689208984
1698992826.427891,4199,-27.3953914642334
1698992835.6577983,4249,-27.557186126708984
1698992844.720149,4299,-27.282119750976562
1698992853.4915273,4349,-27.33407211303711
1698992862.337468,4399,-27.09988784790039
1698992871.8885334,4449,-27.155048370361328
1698992880.7464075,4499,-27.118728637695312
1698992889.502805,4549,-27.18387222290039
1698992898.1372242,4599,-27.227127075195312
1698992906.7501214,4649,-27.49984359741211
1698992915.4718792,4699,-27.255447387695312
1698992924.2222953,4749,-27.43653106689453
1698992933.1166556,4799,-26.771467208862305
1698992941.8047013,4849,-27.24673843383789
1698992950.7168884,4899,-27.19223976135254
1698992959.326313,4949,-27.298362731933594
1698992967.9821403,4999,-27.329872131347656
1698992976.6846197,5049,-27.565319061279297
1698992985.3083866,5099,-27.527856826782227
1698992994.6041832,5149,-26.55144500732422
1698993003.330472,5199,-27.081783294677734
1698993012.0662103,5249,-27.154253005981445
1698993020.7539408,5299,-27.29936408996582
1698993029.547609,5349,-27.49408721923828
1698993038.1044605,5399,-27.40087127685547
1698993046.753637,5449,-27.463151931762695
1698993055.3168132,5499,-28.175390243530273
1698993064.2608635,5549,-27.095739364624023
1698993072.7701888,5599,-27.199066162109375
1698993081.4331155,5649,-27.41680335998535
1698993090.1376498,5699,-27.372230529785156
1698993098.6403322,5749,-27.475683212280273
1698993107.509091,5799,-27.644031524658203
1698993116.4853632,5849,-27.532669067382812
1698993125.4890187,5899,-27.189651489257812
1698993134.3270738,5949,-27.400644302368164
1698993143.2458322,5999,-27.496421813964844
1698993152.0721335,6049,-27.70455551147461
1698993160.836613,6099,-27.522981643676758
1698993169.4922962,6149,-27.328596115112305
1698993178.0090146,6199,-27.455524444580078
1698993186.9314835,6249,-27.333772659301758
1698993195.4032307,6299,-27.553123474121094
1698993204.049194,6349,-27.20693588256836
1698993212.649407,6399,-27.29779052734375
1698993221.302799,6449,-27.542449951171875
1698993229.85815,6499,-27.496524810791016
1698993238.4807677,6549,-27.578001022338867
1698993247.0690613,6599,-28.370302200317383
1698993256.0433815,6649,-27.152671813964844
