Wall time,Step,Value
1698975542.9274032,49,-19.911968231201172
1698975551.1798143,99,-23.827001571655273
1698975559.1797526,149,-24.531509399414062
1698975567.0596113,199,-24.875534057617188
1698975575.0645738,249,-25.309101104736328
1698975583.0250955,299,-25.493257522583008
1698975591.069637,349,-25.79637908935547
1698975599.301524,399,-25.365585327148438
1698975607.3075075,449,-25.736438751220703
1698975616.3524158,499,-25.690706253051758
1698975626.1883957,549,-26.181640625
1698975634.8992753,599,-25.98283576965332
1698975643.741951,649,-26.272003173828125
1698975652.530569,699,-26.420978546142578
1698975661.5364609,749,-26.00283432006836
1698975670.0934134,799,-26.045217514038086
1698975678.731291,849,-26.19515609741211
1698975687.2008781,899,-26.247268676757812
1698975695.9135265,949,-26.373764038085938
1698975704.4760387,999,-26.428205490112305
1698975713.1144357,1049,-26.565467834472656
1698975721.741723,1099,-26.70110511779785
1698975730.710495,1149,-26.312030792236328
1698975739.2590246,1199,-26.68675422668457
1698975748.2477827,1249,-26.578691482543945
1698975757.0760205,1299,-26.834861755371094
1698975765.7843752,1349,-26.86668586730957
1698975774.6900795,1399,-26.912538528442383
1698975783.4741685,1449,-27.045677185058594
1698975792.2225587,1499,-26.607654571533203
1698975801.1472814,1549,-26.608064651489258
1698975809.977015,1599,-26.920907974243164
1698975818.7175481,1649,-26.93742561340332
1698975827.43264,1699,-26.853057861328125
1698975836.2197096,1749,-27.02169418334961
1698975844.9796994,1799,-27.175065994262695
1698975854.3412545,1849,-26.964153289794922
1698975863.0475767,1899,-26.792238235473633
1698975871.7221482,1949,-27.037376403808594
1698975880.4229262,1999,-27.135255813598633
1698975889.1689792,2049,-27.17664337158203
1698975897.8763323,2099,-27.265708923339844
1698975906.7018523,2149,-27.352001190185547
1698975915.3041477,2199,-27.776714324951172
1698975924.6020396,2249,-27.02779769897461
1698975933.2962852,2299,-27.032363891601562
1698975942.0492897,2349,-27.192794799804688
1698975950.7123568,2399,-27.140695571899414
1698975959.43508,2449,-27.19149398803711
1698975968.2687597,2499,-27.303550720214844
1698975977.0270884,2549,-27.41040802001953
1698975985.9883769,2599,-27.257415771484375
1698975994.6972804,2649,-27.368404388427734
1698976003.3926947,2699,-27.20588493347168
1698976012.0421767,2749,-27.454862594604492
1698976020.6867592,2799,-27.448104858398438
1698976029.5189996,2849,-27.54241180419922
1698976038.2674468,2899,-27.120723724365234
1698976047.331783,2949,-27.603294372558594
1698976055.9889753,2999,-27.325355529785156
1698976064.7316191,3049,-27.405292510986328
1698976073.4044907,3099,-27.498262405395508
1698976082.2997224,3149,-27.376667022705078
1698976090.9700494,3199,-27.59902572631836
1698976099.6760967,3249,-27.670516967773438
1698976108.4302106,3299,-27.073406219482422
1698976117.4273388,3349,-27.496070861816406
1698976126.0070798,3399,-27.361713409423828
1698976134.5773075,3449,-27.439647674560547
1698976143.0632834,3499,-27.61077880859375
1698976151.4403553,3549,-27.690059661865234
1698976159.9820154,3599,-27.778928756713867
1698976168.524356,3649,-27.674867630004883
1698976177.227745,3699,-27.524337768554688
1698976185.6455512,3749,-27.120954513549805
1698976194.0469105,3799,-27.612140655517578
1698976202.3828928,3849,-27.906980514526367
1698976210.7054439,3899,-27.772533416748047
1698976219.062451,3949,-27.674589157104492
1698976227.4016619,3999,-27.822978973388672
1698976236.0619156,4049,-27.695816040039062
1698976244.283621,4099,-27.581357955932617
1698976252.594753,4149,-27.579814910888672
1698976260.983117,4199,-27.520198822021484
1698976269.4111667,4249,-27.9759578704834
1698976277.675882,4299,-27.702957153320312
1698976285.9555535,4349,-27.976268768310547
1698976294.186542,4399,-28.047260284423828
1698976302.9904754,4449,-27.64889907836914
1698976311.214759,4499,-27.574739456176758
1698976319.6382837,4549,-27.861774444580078
1698976327.997976,4599,-28.057769775390625
1698976336.2764502,4649,-27.862483978271484
1698976344.6611853,4699,-27.95846939086914
1698976352.9716914,4749,-27.537364959716797
1698976361.5131595,4799,-27.844009399414062
1698976369.8533103,4849,-27.831945419311523
1698976378.2455862,4899,-27.792152404785156
1698976386.6798682,4949,-27.99981117248535
1698976394.9512753,4999,-27.793453216552734
1698976403.3179243,5049,-27.82010841369629
1698976411.6081076,5099,-28.050033569335938
1698976420.2616286,5149,-27.621780395507812
1698976428.5108929,5199,-27.84897232055664
1698976436.8229637,5249,-27.971172332763672
1698976445.1221604,5299,-27.9102725982666
1698976453.468886,5349,-27.95151710510254
1698976461.7482557,5399,-27.868854522705078
1698976470.0074718,5449,-28.094890594482422
1698976478.2720535,5499,-27.895740509033203
1698976487.0142598,5549,-27.969608306884766
1698976495.3666291,5599,-27.893245697021484
1698976503.771006,5649,-27.943164825439453
1698976512.1594257,5699,-28.09299659729004
1698976520.363132,5749,-28.231796264648438
1698976528.765427,5799,-28.024887084960938
1698976537.0615733,5849,-28.112430572509766
1698976545.7496345,5899,-27.386947631835938
1698976554.0542183,5949,-27.780689239501953
1698976562.524184,5999,-28.0355224609375
1698976570.8704078,6049,-28.06410026550293
1698976579.215673,6099,-27.887048721313477
1698976587.680507,6149,-28.278270721435547
1698976596.0103183,6199,-27.804664611816406
1698976604.7207735,6249,-27.75650978088379
1698976612.9408886,6299,-27.96119499206543
1698976621.2427351,6349,-27.922550201416016
1698976629.5192006,6399,-28.052797317504883
1698976637.8620648,6449,-28.04605484008789
1698976646.1235373,6499,-28.072511672973633
1698976654.4790115,6549,-28.15186309814453
1698976662.690736,6599,-28.16863250732422
1698976671.6840131,6649,-27.863048553466797
1698976680.5331476,6699,-27.82200050354004
1698976689.3294716,6749,-28.002710342407227
1698976698.0284083,6799,-28.213300704956055
1698976706.5876954,6849,-28.249826431274414
1698976715.3051312,6899,-28.023101806640625
1698976724.0668993,6949,-28.310596466064453
1698976732.8063931,6999,-27.860374450683594
1698976741.347373,7049,-28.05533218383789
1698976749.836064,7099,-28.038997650146484
1698976758.37477,7149,-28.335289001464844
1698976766.8395295,7199,-28.358951568603516
1698976775.5561905,7249,-28.178083419799805
1698976784.1522949,7299,-27.959625244140625
1698976793.0285718,7349,-28.008453369140625
1698976801.4924612,7399,-27.912914276123047
1698976809.967632,7449,-28.173431396484375
1698976818.427212,7499,-28.22950553894043
1698976827.0724869,7549,-28.043678283691406
1698976835.5398145,7599,-28.19997787475586
1698976844.0721588,7649,-28.415231704711914
1698976852.4695418,7699,-28.985637664794922
1698976861.5867696,7749,-27.59186553955078
1698976870.1353836,7799,-27.999740600585938
1698976878.392829,7849,-28.107452392578125
1698976886.5898101,7899,-28.005428314208984
1698976894.8100526,7949,-28.085559844970703
1698976903.2173336,7999,-28.363420486450195
1698976911.4847186,8049,-28.46691131591797
1698976920.058366,8099,-28.002460479736328
1698976928.3849492,8149,-27.924497604370117
1698976936.6157143,8199,-28.106101989746094
1698976944.6773934,8249,-28.163970947265625
1698976952.8171422,8299,-28.270883560180664
1698976961.2014558,8349,-28.31867027282715
1698976969.3060873,8399,-28.25393295288086
1698976978.0799425,8449,-27.965492248535156
1698976986.4500604,8499,-28.154821395874023
1698976994.5217288,8549,-28.12828254699707
1698977002.6287656,8599,-28.113170623779297
1698977011.0156765,8649,-28.328773498535156
1698977019.3508182,8699,-28.342281341552734
1698977027.664999,8749,-28.244874954223633
1698977035.822859,8799,-28.395427703857422
1698977044.5898511,8849,-27.995609283447266
1698977052.806933,8899,-28.21918296813965
1698977061.1069503,8949,-28.349550247192383
1698977069.3348856,8999,-28.517702102661133
1698977077.4954255,9049,-28.404449462890625
1698977085.7168474,9099,-28.26873779296875
1698977093.9423783,9149,-28.345373153686523
1698977102.4098265,9199,-28.082462310791016
1698977110.7302837,9249,-28.147258758544922
1698977118.9512806,9299,-28.35628318786621
1698977127.223769,9349,-28.316272735595703
1698977135.4735463,9399,-28.419998168945312
1698977143.924626,9449,-28.241662979125977
1698977152.1795726,9499,-28.372604370117188
1698977160.70091,9549,-28.250011444091797
1698977168.9768167,9599,-28.194026947021484
1698977177.299782,9649,-28.398578643798828
1698977185.5619018,9699,-28.34617805480957
1698977193.786191,9749,-28.490520477294922
1698977201.9924252,9799,-28.510738372802734
1698977210.2065008,9849,-28.49679946899414
1698977218.318262,9899,-27.812206268310547
1698977227.3732762,9949,-28.037952423095703
1698977235.5292604,9999,-28.373851776123047
1698977243.9117587,10049,-28.344791412353516
1698977252.0540848,10099,-28.469985961914062
1698977260.1506405,10149,-28.54282569885254
1698977268.2760181,10199,-28.34760284423828
1698977276.408524,10249,-28.39322280883789
1698977284.9237568,10299,-28.291292190551758
1698977293.029057,10349,-28.237987518310547
1698977301.3296835,10399,-28.46766471862793
1698977309.432722,10449,-28.185745239257812
1698977317.5525193,10499,-28.447532653808594
1698977325.8650215,10549,-28.41996192932129
1698977333.9847157,10599,-28.392051696777344
1698977342.4821415,10649,-28.189456939697266
1698977350.592843,10699,-28.176105499267578
1698977358.7638264,10749,-28.36722183227539
1698977367.0931628,10799,-28.371503829956055
1698977375.360179,10849,-28.32477378845215
1698977383.4639926,10899,-28.31163787841797
1698977391.5927594,10949,-28.333389282226562
1698977399.5715158,10999,-27.99474334716797
1698977408.1119962,11049,-28.253328323364258
1698977416.192407,11099,-28.491451263427734
1698977424.2836616,11149,-28.522855758666992
1698977432.363738,11199,-28.440034866333008
1698977440.5621336,11249,-28.351055145263672
1698977448.6002269,11299,-28.59418487548828
1698977456.7856534,11349,-28.726238250732422
1698977465.2187898,11399,-28.250635147094727
1698977473.2991486,11449,-28.10102081298828
1698977481.4401944,11499,-28.287084579467773
1698977489.5549815,11549,-28.340625762939453
1698977497.6855597,11599,-28.63243293762207
1698977506.9378595,11649,-28.30443572998047
1698977515.345166,11699,-28.628700256347656
1698977523.9128418,11749,-28.354389190673828
1698977532.0746245,11799,-28.56661033630371
1698977540.445676,11849,-28.325153350830078
1698977548.7494848,11899,-28.54994010925293
1698977557.0533323,11949,-28.493366241455078
1698977565.2776158,11999,-28.560028076171875
1698977573.5763667,12049,-28.398616790771484
1698977581.6064913,12099,-28.794652938842773
1698977590.1917372,12149,-28.174306869506836
1698977598.2829092,12199,-28.620281219482422
1698977606.4814298,12249,-28.460514068603516
1698977614.5254154,12299,-28.39849090576172
1698977622.614813,12349,-28.48008918762207
1698977630.723343,12399,-28.655397415161133
1698977638.804932,12449,-28.552026748657227
1698977647.0862,12499,-28.382518768310547
1698977655.406588,12549,-28.450773239135742
1698977663.638985,12599,-28.443256378173828
1698977671.7320597,12649,-28.53997230529785
1698977679.9242547,12699,-28.525876998901367
1698977688.229161,12749,-28.534664154052734
1698977696.3923037,12799,-28.7252254486084
1698977704.9221568,12849,-28.478031158447266
1698977713.1283855,12899,-28.54892349243164
1698977721.3006108,12949,-28.31020164489746
1698977729.5529997,12999,-28.56642723083496
1698977737.7836614,13049,-28.525915145874023
1698977745.9163036,13099,-28.52356719970703
1698977754.0239134,13149,-28.572036743164062
1698977762.2159293,13199,-28.646146774291992
