Wall time,Step,Value
1698992094.2964005,49,-18.17476463317871
1698992103.3131995,99,-22.207117080688477
1698992112.3147335,149,-24.073318481445312
1698992121.0645888,199,-24.364696502685547
1698992129.892502,249,-24.948108673095703
1698992138.8854113,299,-24.969480514526367
1698992147.7968495,349,-24.542499542236328
1698992156.9001927,399,-24.51004409790039
1698992165.7205987,449,-25.270038604736328
1698992174.75785,499,-25.145950317382812
1698992183.4327703,549,-25.257253646850586
1698992192.3369608,599,-25.68359375
1698992201.2767215,649,-25.988025665283203
1698992210.567604,699,-25.710763931274414
1698992219.9196203,749,-25.366504669189453
1698992228.737532,799,-25.722763061523438
1698992237.505376,849,-25.188589096069336
1698992246.2882342,899,-25.800378799438477
1698992255.1972456,949,-25.92311668395996
1698992263.956517,999,-25.878284454345703
1698992272.7804124,1049,-25.953983306884766
1698992281.5717068,1099,-25.769817352294922
1698992291.0366807,1149,-25.508258819580078
1698992299.855398,1199,-25.33841323852539
1698992308.8942425,1249,-25.782068252563477
1698992317.8004217,1299,-26.15963363647461
1698992326.596319,1349,-26.01532745361328
1698992335.6111107,1399,-25.754079818725586
1698992344.413285,1449,-25.98819923400879
1698992353.5571222,1499,-25.811199188232422
1698992362.3233027,1549,-26.049762725830078
1698992371.256781,1599,-25.980350494384766
1698992380.1051433,1649,-26.032489776611328
1698992389.12768,1699,-26.18016242980957
1698992398.12627,1749,-26.038000106811523
1698992406.9996712,1799,-26.344097137451172
1698992416.3266602,1849,-25.93400001525879
1698992425.0893788,1899,-26.04498863220215
1698992433.920266,1949,-26.056686401367188
1698992442.8707843,1999,-26.101730346679688
1698992451.6787374,2049,-26.307376861572266
1698992460.526015,2099,-26.333126068115234
1698992469.464534,2149,-26.25305938720703
1698992478.2640312,2199,-26.0285587310791
1698992487.786367,2249,-26.15604019165039
1698992496.611878,2299,-26.194950103759766
1698992505.5915732,2349,-26.16582679748535
1698992514.5955863,2399,-26.311668395996094
1698992523.3775244,2449,-26.279502868652344
1698992532.5099897,2499,-26.638214111328125
1698992541.340974,2549,-26.446550369262695
1698992550.4719124,2599,-26.249475479125977
1698992559.3541803,2649,-26.211931228637695
1698992568.1746747,2699,-26.315486907958984
1698992576.9920108,2749,-26.535017013549805
1698992585.9097567,2799,-26.716503143310547
1698992594.9779596,2849,-26.32510757446289
1698992603.8198488,2899,-25.80011558532715
1698992612.9563828,2949,-26.168994903564453
1698992621.728731,2999,-26.47838592529297
1698992630.4027677,3049,-26.37584686279297
1698992639.179664,3099,-26.46930694580078
1698992647.9373307,3149,-26.561294555664062
1698992656.5915213,3199,-26.615610122680664
1698992665.3517995,3249,-26.553945541381836
1698992673.937973,3299,-26.072193145751953
