Wall time,Step,Value
1698989145.0872185,49,-19.412660598754883
1698989153.896813,99,-23.407133102416992
1698989162.8802338,149,-24.103042602539062
1698989171.614447,199,-24.998777389526367
1698989180.478381,249,-25.53130340576172
1698989189.327147,299,-25.377002716064453
1698989198.0300007,349,-25.50548553466797
1698989207.382004,399,-25.297765731811523
1698989216.3624012,449,-25.412551879882812
1698989225.0980387,499,-26.023366928100586
1698989233.9913023,549,-25.799970626831055
1698989242.5373814,599,-26.156002044677734
1698989251.4209023,649,-25.98919677734375
1698989260.3310277,699,-26.108848571777344
1698989269.658847,749,-26.205154418945312
1698989278.881546,799,-26.172100067138672
1698989287.7131362,849,-26.203516006469727
1698989296.406849,899,-26.314205169677734
1698989305.2279384,949,-26.423812866210938
1698989314.494049,999,-26.129886627197266
1698989323.7082691,1049,-26.56334686279297
1698989332.5257635,1099,-26.454065322875977
1698989342.3612196,1149,-26.642650604248047
1698989351.1549034,1199,-26.312589645385742
1698989360.0424874,1249,-26.834394454956055
1698989368.874725,1299,-26.84625244140625
1698989377.650966,1349,-26.771488189697266
1698989386.3818252,1399,-26.84530258178711
1698989395.3372467,1449,-26.772756576538086
1698989404.7831135,1499,-26.561309814453125
1698989413.9100475,1549,-26.697879791259766
1698989423.5330915,1599,-26.982952117919922
1698989432.28295,1649,-27.06078338623047
1698989441.3151262,1699,-26.89023208618164
1698989450.2848444,1749,-27.059280395507812
1698989459.0883386,1799,-27.027591705322266
1698989468.5308456,1849,-27.07009506225586
1698989477.2824438,1899,-26.99364471435547
1698989486.3613048,1949,-27.01028060913086
1698989495.2549186,1999,-27.08338165283203
1698989504.4759014,2049,-27.263193130493164
1698989513.5484056,2099,-27.15876579284668
1698989522.3761044,2149,-27.26701545715332
1698989531.8698645,2199,-27.091415405273438
1698989541.3657854,2249,-27.167091369628906
1698989550.1584086,2299,-27.23977279663086
1698989559.0779772,2349,-27.06691551208496
1698989567.865362,2399,-27.237018585205078
1698989576.8783367,2449,-27.285991668701172
1698989585.7808282,2499,-27.331762313842773
1698989594.6844032,2549,-27.35276222229004
